"","name","station_id","latitude","longitude","height","orog_DE","orog_D2"
"1","UFS TW Ems","10004",54.165071,6.346049,0,0.0319919586181641,0
"2","UFS Deutsche Bucht","10007",54.1667,7.45,0,0.0319919586181641,0
"3","Helgoland","10015",54.174957,7.891954,4,0.0319919586181641,0
"4","List auf Sylt","10020",55.010987,8.412538,26.2,2.65699195861816,3.8125
"5","Leck","10022",54.790294,8.951446,7,8.90699195861816,9.0625
"6","Sankt Peter-Ording","10028",54.327918,8.602987,5,1.65699195861816,1.9375
"7","Schleswig","10035",54.527509,9.548637,42.5,30.3444919586182,26.625
"8","Schoenhagen (Ostseebad)","10042",54.640978,10.023753,2,0.156991958618164,0.5
"9","Leuchtturm Kiel","10044",54.499614,10.273687,30.75,0.0319919586181641,0
"10","Kiel-Holtenau","10046",54.376109,10.143324,27,14.0319919586182,16.0625
"11","Fehmarn","10055",54.528379,11.060513,3,1.28199195861816,0
"12","Arkona","10091",54.67916,13.434252,42,0.0944919586181641,0
"13","Putbus","10093",54.36426,13.47709,39.5,5.46949195861816,10.9375
"14","Greifswalder Oie","10097",54.2437,13.9102,12,0.0319919586181641,0
"15","Norderney","10113",53.712302,7.151921,11,0.0319919586181641,2.125
"16","Bremerhaven","10129",53.533162,8.576083,7,1.59449195861816,2.375
"17","Elpersbuettel","10130",54.069133,9.010559,3,1.34449195861816,0.5
"18","Cuxhaven","10131",53.871254,8.705821,5,1.34449195861816,0
"19","Bremervoerde","10139",53.445116,9.139039,10,6.09449195861816,6.875
"20","Itzehoe","10142",53.989745,9.569639,21,20.6569919586182,20.375
"21","Quickborn","10146",53.733095,9.877586,13,16.9694919586182,17.3125
"22","Hamburg-Fuhlsbuettel","10147",53.633187,9.988085,11,16.2194919586182,19.125
"23","Doernick","10150",54.165442,10.351878,26.3,36.5319900512695,31.75
"24","Pelzerhaken","10152",54.08932,10.877335,1,8.71949195861816,14.125
"25","Luebeck-Blankensee","10156",53.802496,10.698806,15.5,9.46949195861816,10.875
"26","Boltenhagen","10161",54.002806,11.190772,15,4.71949195861816,3.0625
"27","Schwerin","10162",53.642521,11.387203,59,45.5944900512695,47.25
"28","Goldberg","10168",53.606015,12.103307,58,51.7819900512695,51.4375
"29","Rostock-Warnemuende","10170",54.180279,12.080806,4,0.156991958618164,0
"30","Barth","10180",54.340582,12.710828,3,4.34449195861816,6.5
"31","Greifswald","10184",54.096736,13.405576,2,0.844491958618164,1.0625
"32","Ueckermuende","10193",53.744431,14.069699,1.2,2.21949195861816,0
"33","Emden","10200",53.388079,7.228703,-0.27,1.15699195861816,1.125
"34","Bremen","10224",53.045015,8.797904,4.1,4.96949195861816,4.6875
"35","Soltau","10235",52.9604,9.79306,75.6,64.2194900512695,67.4375
"36","Boizenburg","10249",53.391084,10.687761,45,17.3444919586182,18.4375
"37","Luechow","10253",52.972375,11.137388,17,18.0944919586182,18
"38","Seehausen","10261",52.891136,11.729697,21,21.1569919586182,21.375
"39","Marnitz","10264",53.322288,11.931949,81,97.5944900512695,67.5
"40","Kyritz","10267",52.936312,12.409342,40,40.7819900512695,40.125
"41","Waren (Mueritz)","10268",53.519622,12.665404,72.6,70.9694900512695,69.4375
"42","Neuruppin","10270",52.903704,12.807205,38,45.2819900512695,44.125
"43","Trollenhagen","10281",53.5997,13.3039,69,65.7819900512695,59.125
"44","Feldberg--Mecklenburg","10282",53.317538,13.417466,115.2,106.65699005127,112.75
"45","Gruenow","10289",53.315317,13.933754,55.9,52.2194900512695,54.625
"46","Angermuende","10291",53.031601,13.99066,54,46.7819900512695,49.1875
"47","Lingen","10305",52.518093,7.308057,22,23.7194919586182,24.6875
"48","Ahaus","10309",52.08141,6.940958,45.5,45.7194900512695,46.25
"49","Belm","10312",52.317028,8.169344,103.3,116.09449005127,120
"50","Muenster--Osnabrueck","10315",52.13437,7.696854,47.8,47.6569900512695,49.125
"51","Diepholz","10321",52.588104,8.342443,39,37.0944900512695,37.4375
"52","Salzuflen, Bad","10325",52.104211,8.75208,134.6,116.84449005127,139.125
"53","Hannover","10338",52.464425,9.677917,55,50.2819900512695,51.9375
"54","Braunschweig","10348",52.291443,10.446456,81.2,71.4694900512695,70.1875
"55","Ummendorf","10356",52.160135,11.175899,162,138.406997680664,144.75
"56","Gardelegen","10359",52.512914,11.394131,47,48.3444900512695,47.5625
"57","Magdeburg","10361",52.102889,11.582678,76,61.0944900512695,58.5625
"58","Genthin","10365",52.387515,12.160084,35,35.4069900512695,35.125
"59","Wiesenburg","10368",52.120651,12.458539,187,156.469497680664,169.1875
"60","Baruth","10376",52.061419,13.499617,54.6,58.3444900512695,60.875
"61","Potsdam","10379",52.381287,13.062229,81,38.6569900512695,37.9375
"62","Berlin-Dahlem (FU)","10381",52.453711,13.301731,51,44.4694900512695,44.8125
"63","Berlin-Tegel","10382",52.564412,13.308848,36,36.9694900512695,36.375
"64","Berlin-Tempelhof","10384",52.467488,13.402115,48,36.7819900512695,37.25
"65","Berlin-Schoenefeld","10385",52.380698,13.530609,46,43.5944900512695,42.9375
"66","Lindenberg","10393",52.208491,14.117973,98,93.0319900512695,96
"67","Manschnow","10396",52.546827,14.545212,12,11.4694919586182,10.75
"68","Duesseldorf","10400",51.295952,6.768648,36.6,34.3444900512695,35.6875
"69","Essen-Bredeney","10410",51.404085,6.967741,150,114.09449005127,124.6875
"70","Luedenscheid","10418",51.245158,7.642497,386.7,366.219482421875,384.625
"71","Werl","10424",51.576347,7.887922,84.8,78.5944900512695,79.1875
"72","Kahler Asten","10427",51.180254,8.489068,839,689.469482421875,676.9375
"73","Lippspringe, Bad","10430",51.785459,8.838777,157,168.656997680664,168.1875
"74","Luegde-Paenbruch","10433",51.866435,9.270852,258,250.531997680664,267.5
"75","Warburg","10435",51.503989,9.111751,235.8,203.719497680664,197.625
"76","Alfeld","10442",51.964372,9.807151,143.9,133.469497680664,131.5
"77","Goettingen","10444",51.500331,9.950566,167,227.531997680664,176.625
"78","Leinefelde","10449",51.393291,10.312345,356,350.531982421875,355.25
"79","Braunlage","10452",51.723361,10.602134,607,609.594482421875,588.3125
"80","Brocken","10453",51.79862,10.618265,1133.9,828.406982421875,829.3125
"81","Wernigerode","10454",51.845421,10.768627,234,227.719497680664,238.3125
"82","Harzgerode","10458",51.651998,11.136687,404,381.531982421875,367.8125
"83","Artern","10460",51.374461,11.291977,164,126.34449005127,136.75
"84","Leipzig--Halle","10469",51.43479,12.239622,131,129.219497680664,126.25
"85","Leipzig-Holzhausen","10471",51.315067,12.446226,138,127.34449005127,131.4375
"86","Wittenberg","10474",51.889183,12.644523,105,103.53199005127,106.4375
"87","Oschatz","10480",51.295965,13.092837,150,145.906997680664,132.5625
"88","Dresden-Klotzsche","10488",51.127955,13.754338,227,197.469497680664,205.5625
"89","Doberlug-Kirchhain","10490",51.645104,13.574676,96.8,99.4694900512695,97.25
"90","Hoyerswerda","10495",51.449321,14.253251,115.9,115.15699005127,116.5
"91","Cottbus","10496",51.775983,14.316811,69,67.7194900512695,66.0625
"92","Goerlitz","10499",51.162151,14.950565,238,217.906997680664,221.9375
"93","Nuerburg-Barweiler","10506",50.360141,6.869676,485,427.031982421875,429.75
"94","Koeln-Bonn","10513",50.864559,7.157488,92,85.9694900512695,84.3125
"95","Bonn-Roleber","10519",50.734949,7.193113,159,103.28199005127,134.625
"96","Marienberg, Bad","10526",50.662025,7.960193,546.6,499.469482421875,515
"97","Gieﬂen--Wettenberg","10532",50.601706,8.643902,202.7,171.281997680664,173.6875
"98","Neu-Ulrichstein","10537",50.75133,9.02243,350.3,284.719482421875,292.625
"99","Eisenach","10540",51.000728,10.362107,312.4,283.219482421875,290.625
"100","Hersfeld, Bad","10542",50.851917,9.737819,272.2,257.469482421875,259.125
"101","Wasserkuppe","10544",50.497345,9.942797,921,692.031982421875,736.1875
"102","Meiningen","10548",50.561159,10.377105,450,384.719482421875,409.5
"103","Schmuecke","10552",50.654562,10.769332,937,773.656982421875,820.6875
"104","Erfurt-Weimar","10554",50.982859,10.960808,316,281.156982421875,289.9375
"105","Neuhaus am Rennweg","10557",50.500232,11.134394,845,760.406982421875,761.5
"106","Schleiz","10564",50.567906,11.804085,501,484.219482421875,468.9375
"107","Osterfeld","10565",51.087299,11.929202,246,224.156997680664,246.375
"108","Gera-Leumnitz","10567",50.881268,12.128858,311,279.094482421875,275.625
"109","Plauen","10569",50.481883,12.130014,386,400.781982421875,396.125
"110","Carlsfeld","10574",50.431326,12.611403,897,906.031982421875,883
"111","Chemnitz","10577",50.791286,12.871977,418,331.031982421875,341.4375
"112","Fichtelberg","10578",50.428346,12.953506,1213,922.719482421875,987.1875
"113","Marienberg","10579",50.651004,13.14694,639,617.344482421875,619.4375
"114","Zinnwald-Georgenfeld","10582",50.731376,13.751594,877,792.344482421875,782.0625
"115","Lichtenhain-Mittelndorf","10591",50.938331,14.209276,321,291.469482421875,274.25
"116","Trier-Petrisberg","10609",49.747889,6.658227,265,181.844497680664,162.0625
"117","Deuselbach","10615",49.761901,7.054121,480.5,423.594482421875,412.125
"118","Hahn","10616",49.946242,7.264522,497,438.594482421875,445.3125
"119","Geisenheim","10628",49.985931,7.954853,110.2,184.156997680664,174.25
"120","Kleiner Feldberg--Taunus","10635",50.221815,8.446877,825.6,621.281982421875,659.875
"121","Frankfurt--Main","10637",50.025911,8.521294,99.7,97.9694900512695,102.8125
"122","Offenbach-Wetterpark","10641",50.090012,8.786189,118.5,105.65699005127,108.375
"123","Neuhuetten--Spessart","10646",50.008254,9.423898,339.5,354.844482421875,330.4375
"124","Michelstadt-Vielbrunn","10648",49.717633,9.099689,453,379.844482421875,401.75
"125","Wuerzburg","10655",49.770283,9.957723,268,228.844497680664,227.0625
"126","Kissingen, Bad","10658",50.224063,10.079213,281.8,273.719482421875,267.625
"127","Lautertal-Oberlauter","10671",50.306672,10.967958,344.5,344.656982421875,406.375
"128","Bamberg","10675",49.874176,10.920581,240,255.594497680664,254.375
"129","Hof","10685",50.312236,11.876052,565.1,520.344482421875,531.75
"130","Wunsiedel-Schoenbrunn","10686",50.031525,11.974489,622.3,592.969482421875,595.6875
"131","Weiden","10688",49.666262,12.184464,439.6,471.844482421875,441.875
"132","Berus","10704",49.264019,6.686793,363,249.156997680664,297.6875
"133","Tholey","10706",49.473764,7.038578,385.9,353.281982421875,382.875
"134","Saarbruecken-Ensheim","10708",49.212803,7.107712,320,290.469482421875,309.25
"135","Weinbiet","10724",49.375835,8.121278,553,387.094482421875,391.5
"136","Mannheim","10729",49.509028,8.554076,96.1,99.0944900512695,100.25
"137","Rheinstetten","10731",48.972621,8.330074,116.1,113.46949005127,112.5
"138","Waibstadt","10733",49.294233,8.90538,236.6,202.156997680664,199.0625
"139","Muehlacker","10736",48.97207,8.873387,244,275.156982421875,276.5625
"140","Stuttgart-Echterdingen","10738",48.688307,9.223535,371,397.531982421875,386.75
"141","Stuttgart (Schnarrenberg)","10739",48.828188,9.200041,314.3,269.719482421875,272.75
"142","oehringen","10742",49.207046,9.517492,275.9,253.844497680664,253.125
"143","Feuchtwangen-Heilbronn","10756",49.162338,10.366172,475.1,486.531982421875,477.5625
"144","Weiﬂenburg-Emetzheim","10761",49.011554,10.93081,439.3,431.906982421875,425.4375
"145","Nuernberg","10763",49.503031,11.054923,314,301.156982421875,303.9375
"146","Roth","10765",49.2164,11.1036,385,354.844482421875,356.625
"147","Regensburg","10776",49.042357,12.102053,365.4,359.219482421875,354.0625
"148","Gelbelsee","10777",48.948139,11.428914,536,508.906982421875,497.875
"149","Waldmuenchen","10782",49.390904,12.683828,498.8,533.156982421875,500.3125
"150","Straubing","10788",48.827541,12.559776,350,349.656982421875,341.0625
"151","Groﬂer Arber","10791",49.113037,13.134204,1436,1085.03198242188,987.5
"152","Zwiesel","10796",49.028043,13.238493,615,635.844482421875,652.1875
"153","Freiburg","10803",48.023276,7.834441,236.3,219.594497680664,236.4375
"154","Lahr","10805",48.364697,7.828016,155,152.594497680664,155.6875
"155","Freudenstadt","10815",48.453728,8.409057,796.5,719.594482421875,759.25
"156","Klippeneck","10818",48.105371,8.754878,973.4,863.406982421875,768.9375
"157","Meﬂstetten","10827",48.187513,8.993829,920,833.281982421875,834.1875
"158","Stoetten","10836",48.665709,9.864648,733.8,595.406982421875,667.1875
"159","Harburg","10850",48.791799,10.706226,501.9,485.219482421875,481.4375
"160","Augsburg","10852",48.425393,10.942011,461.4,468.219482421875,459.5625
"161","Weihenstephan-Duernast","10863",48.402499,11.694555,477.1,477.906982421875,487.5625
"162","Muenchen-Stadt","10865",48.163142,11.542922,515.2,508.969482421875,505.25
"163","Muenchen-Flughafen","10870",48.347656,11.813275,445.5,445.531982421875,443
"164","Gottfrieding","10872",48.659626,12.538767,350.4,382.344482421875,351.75
"165","Muehldorf","10875",48.279069,12.502379,405.6,420.781982421875,425.25
"166","Fuerstenzell","10895",48.545146,13.353054,476.4,399.469482421875,408.75
"167","Feldberg--Schwarzwald","10908",47.874893,8.003817,1489.6,1108.46948242188,1131.9375
"168","Konstanz","10929",47.677419,9.190052,442.5,409.031982421875,412.0625
"169","Leutkirch-Herlazhofen","10945",47.795509,10.032433,671.7,677.156982421875,671.8125
"170","Kempten","10946",47.723259,10.334797,705.2,698.844482421875,695.8125
"171","Oberstdorf","10948",47.398578,10.275988,806,912.594482421875,829
"172","Zugspitze","10961",47.420868,10.984724,2964,1774.84448242188,1811.4375
"173","Hohenpeiﬂenberg","10962",47.800864,11.010754,977,754.719482421875,771.3125
"174","Garmisch-Partenkirchen","10963",47.48305,11.062293,719,995.969482421875,844.9375
"175","Chieming","10982",47.884339,12.540379,551.2,534.719482421875,531.875
